,0
305,7.0
306,1.0
307,4.0
308,5.0
309,8.0
310,5.0
311,9.0
312,0.0
313,0.0
314,3.0
315,8.0
316,4.0
317,1.0
318,8.0
319,4.0
320,1.0
321,1.0
322,9.0
323,8.0
324,4.0
325,5.0
326,1.0
327,5.0
328,3.0
329,6.0
330,3.0
331,1.0
332,3.0
333,0.0
334,9.0
335,0.0
336,0.0
337,6.0
338,0.0
339,6.0
340,3.0
341,1.0
342,8.0
343,1.0
344,0.0
345,6.0
346,5.0
347,2.0
348,2.0
349,6.0
350,7.0
351,7.0
352,2.0
353,5.0
354,8.0
355,3.0
356,9.0
357,2.0
358,7.0
359,8.0
360,6.0
361,3.0
362,8.0
363,4.0
364,2.0
365,3.0
366,8.0
367,1.0
368,6.0
369,4.0
370,8.0
371,7.0
372,9.0
373,7.0
374,6.0
375,9.0
376,5.0
377,3.0
378,7.0
379,6.0
380,5.0
381,5.0
382,4.0
383,2.0
384,6.0
385,2.0
386,1.0
387,3.0
388,7.0
389,1.0
390,7.0
391,9.0
392,9.0
393,6.0
394,1.0
395,1.0
396,1.0
397,7.0
398,3.0
399,9.0
400,7.0
401,6.0
402,1.0
403,1.0
404,1.0
405,9.0
406,3.0
407,8.0
408,4.0
409,5.0
410,0.0
411,4.0
412,1.0
413,2.0
414,3.0
415,1.0
416,1.0
417,3.0
418,5.0
419,9.0
420,6.0
421,6.0
422,5.0
423,3.0
424,1.0
425,4.0
426,7.0
427,4.0
428,7.0
429,4.0
430,8.0
431,5.0
432,2.0
433,6.0
434,1.0
435,3.0
436,9.0
437,5.0
438,0.0
439,8.0
440,4.0
441,7.0
442,4.0
443,6.0
444,4.0
445,1.0
446,5.0
447,3.0
448,9.0
449,5.0
450,7.0
451,6.0
452,9.0
453,5.0
454,9.0
455,2.0
456,3.0
457,8.0
458,6.0
459,6.0
460,7.0
461,5.0
462,0.0
463,5.0
464,1.0
465,7.0
466,4.0
467,4.0
468,1.0
469,1.0
470,4.0
471,9.0
472,5.0
473,6.0
474,0.0
475,1.0
476,3.0
477,1.0
478,0.0
479,4.0
480,8.0
481,1.0
482,2.0
483,7.0
484,9.0
485,4.0
486,8.0
487,3.0
488,7.0
489,7.0
490,4.0
491,2.0
492,4.0
493,6.0
494,7.0
495,6.0
496,3.0
497,2.0
498,0.0
499,6.0
500,5.0
501,9.0
502,4.0
503,1.0
504,8.0
505,3.0
506,3.0
507,0.0
508,6.0
509,7.0
510,8.0
511,8.0
512,7.0
513,5.0
514,3.0
515,5.0
516,7.0
517,2.0
518,3.0
519,6.0
520,9.0
521,0.0
522,7.0
523,7.0
524,1.0
525,0.0
526,1.0
527,1.0
528,7.0
529,0.0
530,5.0
531,3.0
532,8.0
533,3.0
534,5.0
535,6.0
536,5.0
537,7.0
538,3.0
539,0.0
540,2.0
541,8.0
542,2.0
543,0.0
544,3.0
545,0.0
546,9.0
547,2.0
548,1.0
549,1.0
550,3.0
551,0.0
552,5.0
553,0.0
554,0.0
555,7.0
556,5.0
557,6.0
558,2.0
559,0.0
560,3.0
561,8.0
562,1.0
563,6.0
564,5.0
565,4.0
566,1.0
567,1.0
568,4.0
569,6.0
570,5.0
571,3.0
572,6.0
573,0.0
574,4.0
575,8.0
576,2.0
577,4.0
578,2.0
579,5.0
580,1.0
581,2.0
582,6.0
583,9.0
584,1.0
585,7.0
586,5.0
587,8.0
588,8.0
589,8.0
590,8.0
591,4.0
592,5.0
593,3.0
594,6.0
595,6.0
596,6.0
597,0.0
598,3.0
599,5.0
600,1.0
601,7.0
602,1.0
603,6.0
604,2.0
605,8.0
606,5.0
607,6.0
608,4.0
609,7.0
610,4.0
611,3.0
612,3.0
613,2.0
614,4.0
615,7.0
616,0.0
617,0.0
618,9.0
619,8.0
620,5.0
621,9.0
622,4.0
623,0.0
624,8.0
625,1.0
626,3.0
627,6.0
628,2.0
629,6.0
630,1.0
631,8.0
632,6.0
633,1.0
634,4.0
635,7.0
636,7.0
637,8.0
638,3.0
639,0.0
640,9.0
641,9.0
642,8.0
643,7.0
644,7.0
645,4.0
646,4.0
647,1.0
648,8.0
649,4.0
650,8.0
651,0.0
652,2.0
653,8.0
654,2.0
655,4.0
656,3.0
657,3.0
658,7.0
659,2.0
660,3.0
661,4.0
662,0.0
663,4.0
664,8.0
665,1.0
666,3.0
667,3.0
668,6.0
669,3.0
670,9.0
671,4.0
672,3.0
673,8.0
674,7.0
675,7.0
676,2.0
677,6.0
678,0.0
679,6.0
680,9.0
681,8.0
682,5.0
683,1.0
684,3.0
685,4.0
686,6.0
687,9.0
688,9.0
689,2.0
690,6.0
691,0.0
692,1.0
693,8.0
694,4.0
695,3.0
696,9.0
697,8.0
698,8.0
699,4.0
700,0.0
701,5.0
702,0.0
703,6.0
704,0.0
705,4.0
706,4.0
707,6.0
708,5.0
709,1.0
710,8.0
711,1.0
712,5.0
713,8.0
714,6.0
715,2.0
716,3.0
717,7.0
718,8.0
719,9.0
720,3.0
721,1.0
722,0.0
723,1.0
724,6.0
725,6.0
726,4.0
727,2.0
728,5.0
729,7.0
730,1.0
731,3.0
732,2.0
733,7.0
734,7.0
735,1.0
736,5.0
737,1.0
738,5.0
739,4.0
740,4.0
741,3.0
742,4.0
743,3.0
744,9.0
745,0.0
746,7.0
747,8.0
748,6.0
749,4.0
750,9.0
751,4.0
752,4.0
753,1.0
754,4.0
755,7.0
756,1.0
757,1.0
758,9.0
759,7.0
760,0.0
761,4.0
762,0.0
763,4.0
764,0.0
765,0.0
766,3.0
767,1.0
768,8.0
769,6.0
770,5.0
771,0.0
772,1.0
773,5.0
774,3.0
775,4.0
776,6.0
777,3.0
778,1.0
779,1.0
780,6.0
781,9.0
782,8.0
783,3.0
784,5.0
785,5.0
786,4.0
787,8.0
788,8.0
789,5.0
790,0.0
791,4.0
792,0.0
793,4.0
794,3.0
795,1.0
796,6.0
797,9.0
798,9.0
799,1.0
800,1.0
801,3.0
802,3.0
803,1.0
804,4.0
805,9.0
806,6.0
807,9.0
808,1.0
809,5.0
810,4.0
811,2.0
812,3.0
813,2.0
814,4.0
815,0.0
816,9.0
817,7.0
818,4.0
819,3.0
820,0.0
821,5.0
822,0.0
823,1.0
824,9.0
825,0.0
826,4.0
827,5.0
828,2.0
829,8.0
830,8.0
831,5.0
832,9.0
833,3.0
834,9.0
835,6.0
836,1.0
837,3.0
838,3.0
839,1.0
840,9.0
841,0.0
842,8.0
843,4.0
844,6.0
845,7.0
846,2.0
847,8.0
848,5.0
849,8.0
850,9.0
851,7.0
852,7.0
853,2.0
854,8.0
855,1.0
856,3.0
857,4.0
858,5.0
859,0.0
860,4.0
861,1.0
862,4.0
863,2.0
864,3.0
865,6.0
866,9.0
867,2.0
868,3.0
869,4.0
870,5.0
871,4.0
872,2.0
873,5.0
874,2.0
875,1.0
876,1.0
877,0.0
878,1.0
879,4.0
880,9.0
881,1.0
882,1.0
883,2.0
884,7.0
885,1.0
886,5.0
887,4.0
888,9.0
889,1.0
890,7.0
891,6.0
892,0.0
893,4.0
894,2.0
895,9.0
896,8.0
897,1.0
898,1.0
899,5.0
900,3.0
901,5.0
902,7.0
903,9.0
904,7.0
905,8.0
906,3.0
907,2.0
908,7.0
909,2.0
910,0.0
911,4.0
912,7.0
913,1.0
914,6.0
915,4.0
916,5.0
917,1.0
918,5.0
919,7.0
920,3.0
921,5.0
922,9.0
923,4.0
924,7.0
925,9.0
926,6.0
927,6.0
928,3.0
929,3.0
930,2.0
931,1.0
932,4.0
933,5.0
934,3.0
935,7.0
936,7.0
937,9.0
938,5.0
939,6.0
940,2.0
941,6.0
942,1.0
943,0.0
944,9.0
945,3.0
946,2.0
947,9.0
948,2.0
949,6.0
950,7.0
951,5.0
952,2.0
953,3.0
954,2.0
955,8.0
956,3.0
957,0.0
958,2.0
959,7.0
960,9.0
961,4.0
962,0.0
963,9.0
964,5.0
965,1.0
966,8.0
967,8.0
968,5.0
969,3.0
970,2.0
971,9.0
972,6.0
973,7.0
974,0.0
975,8.0
976,0.0
977,7.0
978,4.0
979,3.0
980,8.0
981,7.0
982,9.0
983,7.0
984,7.0
985,0.0
986,5.0
987,3.0
988,2.0
989,1.0
990,9.0
991,0.0
992,6.0
993,8.0
994,3.0
995,6.0
996,2.0
997,2.0
998,9.0
999,0.0
1000,7.0
1001,0.0
1002,7.0
1003,1.0
1004,3.0
1005,4.0
1006,6.0
1007,3.0
1008,9.0
1009,2.0
1010,6.0
1011,3.0
1012,7.0
1013,3.0
1014,7.0
1015,2.0
1016,3.0
1017,4.0
1018,3.0
1019,5.0
1020,9.0
1021,8.0
1022,6.0
1023,2.0
1024,6.0
1025,1.0
1026,5.0
1027,5.0
1028,1.0
1029,9.0
1030,1.0
1031,8.0
1032,9.0
1033,4.0
1034,5.0
1035,8.0
1036,5.0
1037,2.0
1038,0.0
1039,1.0
1040,6.0
1041,1.0
1042,9.0
1043,2.0
1044,2.0
1045,7.0
1046,7.0
1047,0.0
1048,6.0
1049,2.0
1050,6.0
1051,3.0
1052,5.0
1053,9.0
1054,1.0
1055,1.0
1056,3.0
1057,6.0
1058,5.0
1059,0.0
1060,0.0
1061,6.0
1062,0.0
1063,9.0
1064,4.0
1065,7.0
1066,0.0
1067,5.0
1068,9.0
1069,5.0
1070,8.0
1071,7.0
1072,6.0
1073,9.0
1074,2.0
1075,6.0
1076,1.0
1077,2.0
1078,9.0
1079,3.0
1080,0.0
1081,2.0
1082,8.0
1083,7.0
1084,7.0
1085,6.0
1086,6.0
1087,3.0
1088,1.0
1089,3.0
1090,1.0
1091,0.0
1092,1.0
1093,7.0
1094,6.0
1095,9.0
1096,3.0
1097,3.0
1098,3.0
1099,4.0
1100,2.0
1101,9.0
1102,1.0
1103,8.0
1104,2.0
1105,0.0
1106,6.0
1107,4.0
1108,6.0
1109,7.0
1110,2.0
1111,7.0
1112,1.0
1113,0.0
1114,5.0
1115,2.0
1116,6.0
1117,4.0
1118,9.0
1119,8.0
1120,5.0
1121,4.0
1122,1.0
1123,6.0
1124,3.0
1125,0.0
1126,6.0
1127,1.0
1128,2.0
1129,0.0
1130,8.0
1131,8.0
1132,0.0
1133,3.0
1134,6.0
1135,8.0
1136,7.0
1137,2.0
1138,7.0
1139,0.0
1140,0.0
1141,2.0
1142,1.0
1143,2.0
1144,8.0
1145,4.0
1146,5.0
1147,5.0
1148,3.0
1149,8.0
1150,7.0
1151,8.0
1152,4.0
1153,3.0
1154,4.0
1155,4.0
1156,1.0
1157,8.0
1158,0.0
1159,9.0
1160,1.0
1161,4.0
1162,0.0
1163,6.0
1164,4.0
1165,1.0
1166,2.0
1167,4.0
1168,5.0
1169,8.0
1170,2.0
1171,9.0
1172,1.0
1173,8.0
1174,2.0
1175,2.0
1176,7.0
1177,2.0
1178,5.0
1179,3.0
1180,3.0
1181,9.0
1182,4.0
1183,0.0
1184,7.0
1185,0.0
1186,3.0
1187,0.0
1188,9.0
1189,7.0
1190,3.0
1191,3.0
1192,8.0
1193,8.0
1194,9.0
1195,3.0
1196,2.0
1197,5.0
1198,4.0
1199,4.0
1200,8.0
1201,3.0
1202,0.0
1203,1.0
1204,7.0
1205,9.0
1206,6.0
1207,4.0
1208,0.0
1209,4.0
1210,7.0
1211,8.0
1212,4.0
1213,5.0
1214,9.0
1215,5.0
1216,7.0
1217,8.0
1218,2.0
1219,0.0
1220,0.0
1221,5.0
1222,0.0
1223,5.0
1224,3.0
1225,9.0
1226,9.0
1227,9.0
1228,5.0
1229,4.0
1230,3.0
1231,0.0
1232,5.0
1233,4.0
1234,1.0
1235,9.0
1236,5.0
1237,4.0
1238,9.0
1239,9.0
1240,5.0
1241,7.0
1242,8.0
1243,5.0
1244,4.0
1245,7.0
1246,4.0
1247,3.0
1248,3.0
1249,6.0
1250,6.0
1251,0.0
1252,4.0
1253,5.0
1254,5.0
1255,7.0
1256,6.0
1257,5.0
1258,3.0
1259,1.0
1260,4.0
1261,4.0
1262,2.0
1263,2.0
1264,5.0
1265,9.0
1266,5.0
1267,8.0
1268,1.0
1269,1.0
1270,5.0
1271,1.0
1272,0.0
1273,0.0
1274,4.0
1275,0.0
1276,2.0
1277,7.0
1278,6.0
1279,1.0
1280,4.0
1281,7.0
1282,0.0
1283,7.0
1284,1.0
1285,0.0
1286,3.0
1287,3.0
1288,1.0
1289,9.0
1290,8.0
1291,4.0
1292,6.0
1293,5.0
1294,9.0
1295,8.0
1296,6.0
1297,3.0
1298,6.0
1299,6.0
1300,6.0
1301,1.0
1302,1.0
1303,4.0
1304,0.0
1305,7.0
1306,8.0
1307,0.0
1308,4.0
1309,6.0
1310,7.0
1311,9.0
1312,5.0
1313,9.0
1314,6.0
1315,2.0
1316,4.0
1317,7.0
1318,5.0
1319,9.0
1320,8.0
1321,5.0
1322,1.0
1323,8.0
1324,0.0
1325,3.0
1326,6.0
1327,8.0
1328,1.0
1329,3.0
1330,6.0
1331,3.0
1332,1.0
1333,9.0
1334,1.0
1335,4.0
1336,5.0
1337,8.0
1338,2.0
1339,8.0
1340,9.0
1341,1.0
1342,3.0
1343,3.0
1344,0.0
1345,5.0
1346,6.0
1347,1.0
1348,8.0
1349,3.0
1350,6.0
1351,7.0
1352,2.0
1353,3.0
1354,2.0
1355,9.0
1356,7.0
1357,1.0
1358,5.0
1359,9.0
1360,8.0
1361,7.0
1362,3.0
1363,8.0
1364,4.0
1365,5.0
1366,8.0
1367,2.0
1368,1.0
1369,6.0
1370,7.0
1371,6.0
1372,1.0
1373,1.0
1374,0.0
1375,5.0
1376,0.0
1377,9.0
1378,1.0
1379,7.0
1380,4.0
1381,0.0
1382,8.0
1383,7.0
1384,5.0
1385,9.0
1386,8.0
1387,8.0
1388,7.0
1389,5.0
1390,4.0
1391,8.0
1392,7.0
1393,9.0
1394,4.0
1395,7.0
1396,2.0
1397,7.0
1398,4.0
1399,1.0
1400,5.0
1401,5.0
1402,2.0
1403,3.0
1404,5.0
1405,7.0
1406,8.0
1407,4.0
1408,5.0
1409,9.0
1410,1.0
1411,5.0
1412,1.0
1413,1.0
1414,3.0
1415,7.0
1416,5.0
1417,1.0
1418,7.0
1419,9.0
1420,2.0
1421,3.0
1422,6.0
1423,8.0
1424,8.0
1425,5.0
1426,0.0
1427,8.0
1428,8.0
1429,4.0
1430,7.0
1431,1.0
1432,9.0
1433,6.0
1434,8.0
1435,9.0
1436,4.0
1437,9.0
1438,9.0
1439,6.0
1440,3.0
1441,2.0
1442,7.0
1443,4.0
1444,8.0
1445,0.0
1446,4.0
1447,9.0
1448,3.0
1449,8.0
1450,8.0
1451,7.0
1452,0.0
1453,9.0
1454,0.0
1455,8.0
1456,7.0
1457,0.0
1458,8.0
1459,5.0
1460,3.0
1461,3.0
1462,6.0
1463,2.0
1464,5.0
1465,3.0
1466,1.0
1467,7.0
1468,3.0
1469,1.0
1470,0.0
1471,6.0
1472,5.0
1473,9.0
1474,3.0
1475,2.0
1476,9.0
1477,4.0
1478,8.0
1479,8.0
1480,2.0
1481,6.0
1482,4.0
1483,4.0
1484,0.0
1485,7.0
1486,5.0
1487,9.0
1488,6.0
1489,7.0
1490,3.0
1491,8.0
1492,9.0
1493,2.0
1494,0.0
1495,8.0
1496,6.0
1497,0.0
1498,3.0
1499,0.0
1500,1.0
1501,8.0
1502,2.0
1503,8.0
1504,6.0
1505,0.0
1506,1.0
1507,3.0
1508,0.0
1509,7.0
1510,3.0
1511,6.0
1512,9.0
1513,2.0
1514,3.0
1515,1.0
1516,7.0
1517,3.0
1518,9.0
1519,5.0
1520,9.0
1521,9.0
1522,1.0
1523,1.0
1524,5.0
1525,8.0
1526,3.0
1527,2.0
1528,5.0
1529,4.0
1530,1.0
1531,8.0
1532,4.0
1533,0.0
1534,7.0
1535,0.0
1536,1.0
1537,0.0
1538,0.0
1539,7.0
1540,1.0
1541,3.0
1542,5.0
1543,5.0
1544,8.0
1545,9.0
1546,7.0
1547,9.0
1548,4.0
1549,6.0
1550,0.0
1551,1.0
1552,9.0
1553,2.0
1554,7.0
1555,4.0
1556,8.0
1557,5.0
1558,0.0
1559,5.0
1560,9.0
1561,8.0
1562,7.0
1563,5.0
1564,0.0
1565,1.0
1566,7.0
1567,9.0
1568,6.0
1569,3.0
1570,0.0
1571,8.0
1572,7.0
1573,5.0
1574,2.0
1575,6.0
1576,1.0
1577,7.0
1578,2.0
1579,3.0
1580,8.0
1581,8.0
1582,1.0
1583,4.0
1584,6.0
1585,2.0
1586,4.0
1587,8.0
1588,2.0
1589,3.0
1590,6.0
1591,3.0
1592,8.0
1593,2.0
1594,9.0
1595,1.0
1596,3.0
1597,2.0
1598,5.0
1599,8.0
1600,7.0
1601,7.0
1602,2.0
1603,2.0
1604,0.0
1605,3.0
1606,2.0
1607,1.0
1608,1.0
1609,5.0
1610,4.0
1611,3.0
1612,3.0
1613,1.0
1614,9.0
1615,3.0
1616,2.0
1617,1.0
1618,1.0
1619,2.0
1620,6.0
1621,1.0
1622,3.0
1623,4.0
1624,4.0
1625,9.0
1626,6.0
1627,6.0
1628,7.0
1629,5.0
1630,9.0
1631,6.0
1632,6.0
1633,1.0
1634,0.0
1635,7.0
1636,8.0
1637,8.0
1638,8.0
1639,3.0
1640,7.0
1641,7.0
1642,7.0
1643,1.0
1644,4.0
1645,6.0
1646,1.0
1647,0.0
1648,0.0
1649,1.0
1650,7.0
1651,7.0
1652,8.0
1653,8.0
1654,9.0
1655,8.0
1656,2.0
1657,4.0
1658,8.0
1659,1.0
1660,3.0
1661,5.0
1662,1.0
1663,3.0
1664,3.0
1665,6.0
1666,6.0
1667,5.0
1668,8.0
1669,8.0
1670,5.0
1671,4.0
1672,5.0
1673,9.0
1674,8.0
1675,2.0
1676,0.0
1677,1.0
1678,3.0
1679,3.0
1680,5.0
1681,6.0
1682,3.0
1683,3.0
1684,6.0
1685,1.0
1686,3.0
1687,3.0
1688,7.0
1689,1.0
1690,5.0
1691,6.0
1692,6.0
1693,1.0
1694,7.0
1695,4.0
1696,5.0
1697,9.0
1698,0.0
1699,2.0
1700,8.0
1701,0.0
1702,9.0
1703,5.0
1704,3.0
1705,0.0
1706,8.0
1707,0.0
1708,7.0
1709,7.0
1710,1.0
1711,5.0
1712,4.0
1713,4.0
1714,9.0
1715,7.0
1716,0.0
1717,3.0
1718,1.0
1719,3.0
1720,3.0
1721,6.0
1722,2.0
1723,4.0
1724,2.0
1725,1.0
1726,6.0
1727,5.0
1728,9.0
1729,3.0
1730,4.0
1731,1.0
1732,9.0
1733,4.0
1734,0.0
1735,3.0
1736,5.0
1737,1.0
1738,0.0
1739,2.0
1740,5.0
1741,3.0
1742,9.0
1743,4.0
1744,9.0
1745,1.0
1746,0.0
1747,0.0
1748,5.0
1749,7.0
1750,1.0
1751,6.0
1752,8.0
1753,3.0
1754,7.0
1755,0.0
1756,3.0
1757,8.0
1758,2.0
1759,8.0
1760,6.0
1761,7.0
1762,9.0
1763,1.0
1764,8.0
1765,4.0
1766,5.0
1767,3.0
1768,1.0
1769,3.0
1770,2.0
1771,2.0
1772,5.0
1773,3.0
1774,8.0
1775,8.0
1776,2.0
1777,7.0
1778,4.0
1779,8.0
1780,5.0
1781,7.0
1782,0.0
1783,6.0
1784,6.0
1785,2.0
1786,3.0
1787,2.0
1788,2.0
1789,9.0
1790,1.0
1791,9.0
1792,6.0
1793,9.0
1794,2.0
1795,2.0
1796,6.0
1797,0.0
1798,4.0
1799,0.0
1800,0.0
1801,0.0
1802,0.0
1803,3.0
1804,0.0
1805,4.0
1806,3.0
1807,6.0
1808,7.0
1809,8.0
1810,6.0
1811,0.0
1812,5.0
1813,1.0
1814,8.0
1815,5.0
1816,6.0
1817,0.0
1818,2.0
1819,7.0
1820,6.0
1821,1.0
1822,3.0
1823,9.0
1824,9.0
1825,3.0
1826,0.0
1827,5.0
1828,5.0
1829,9.0
1830,6.0
1831,8.0
1832,3.0
1833,1.0
1834,0.0
1835,0.0
1836,9.0
1837,0.0
1838,6.0
1839,6.0
1840,2.0
1841,4.0
1842,3.0
1843,0.0
1844,2.0
1845,7.0
1846,1.0
1847,5.0
1848,8.0
1849,5.0
1850,8.0
1851,8.0
1852,4.0
1853,7.0
1854,4.0
1855,3.0
1856,6.0
1857,5.0
1858,7.0
1859,3.0
1860,1.0
1861,6.0
1862,7.0
1863,1.0
1864,3.0
1865,1.0
1866,8.0
1867,8.0
1868,1.0
1869,5.0
1870,2.0
1871,2.0
1872,6.0
1873,9.0
1874,0.0
1875,2.0
1876,1.0
1877,2.0
1878,7.0
1879,4.0
1880,4.0
1881,5.0
1882,3.0
1883,0.0
1884,4.0
1885,5.0
1886,1.0
1887,9.0
1888,6.0
1889,9.0
1890,7.0
1891,6.0
1892,5.0
1893,0.0
1894,6.0
1895,1.0
1896,3.0
1897,8.0
1898,4.0
1899,6.0
1900,0.0
1901,0.0
1902,3.0
1903,7.0
1904,9.0
1905,8.0
1906,5.0
1907,9.0
1908,9.0
1909,1.0
1910,5.0
1911,0.0
1912,9.0
1913,1.0
1914,7.0
1915,9.0
1916,0.0
1917,8.0
1918,9.0
1919,0.0
1920,6.0
1921,4.0
1922,2.0
1923,4.0
1924,2.0
1925,1.0
1926,9.0
1927,4.0
1928,4.0
1929,8.0
1930,8.0
1931,6.0
1932,5.0
1933,6.0
1934,1.0
1935,3.0
1936,5.0
1937,9.0
1938,3.0
1939,9.0
1940,7.0
1941,0.0
1942,7.0
1943,6.0
1944,5.0
1945,8.0
1946,6.0
1947,6.0
1948,0.0
1949,7.0
1950,4.0
1951,5.0
1952,3.0
1953,7.0
1954,7.0
1955,8.0
1956,5.0
1957,4.0
1958,7.0
1959,5.0
1960,3.0
1961,6.0
1962,8.0
1963,3.0
1964,6.0
1965,1.0
1966,9.0
1967,4.0
1968,0.0
1969,9.0
1970,4.0
1971,4.0
1972,5.0
1973,8.0
1974,4.0
1975,0.0
1976,9.0
1977,3.0
1978,0.0
1979,9.0
1980,4.0
1981,6.0
1982,4.0
1983,0.0
1984,2.0
1985,0.0
1986,1.0
1987,7.0
1988,5.0
1989,9.0
1990,8.0
1991,7.0
1992,8.0
1993,6.0
1994,2.0
1995,0.0
1996,0.0
1997,3.0
1998,7.0
1999,8.0
2000,6.0
2001,1.0
2002,6.0
2003,7.0
2004,2.0
2005,5.0
2006,4.0
2007,7.0
2008,1.0
2009,1.0
2010,4.0
2011,1.0
2012,6.0
2013,6.0
2014,7.0
2015,0.0
2016,8.0
2017,4.0
2018,7.0
2019,0.0
2020,9.0
2021,4.0
2022,6.0
2023,2.0
2024,6.0
2025,7.0
2026,3.0
2027,2.0
2028,9.0
2029,6.0
2030,5.0
2031,2.0
2032,5.0
2033,8.0
2034,5.0
2035,6.0
2036,9.0
2037,2.0
2038,2.0
2039,7.0
2040,7.0
2041,3.0
2042,4.0
2043,9.0
2044,2.0
2045,8.0
2046,0.0
2047,2.0
2048,4.0
2049,0.0
2050,4.0
2051,4.0
2052,5.0
2053,8.0
2054,8.0
2055,9.0
2056,3.0
2057,3.0
2058,5.0
2059,9.0
2060,0.0
2061,7.0
2062,0.0
2063,5.0
2064,5.0
2065,2.0
2066,9.0
2067,1.0
2068,9.0
2069,9.0
2070,4.0
2071,6.0
2072,4.0
2073,6.0
2074,8.0
2075,9.0
2076,0.0
2077,0.0
2078,2.0
2079,2.0
2080,1.0
2081,6.0
2082,8.0
2083,2.0
2084,2.0
2085,0.0
2086,0.0
2087,5.0
2088,5.0
2089,7.0
2090,3.0
2091,3.0
2092,5.0
2093,9.0
2094,6.0
2095,2.0
2096,3.0
2097,4.0
2098,3.0
2099,7.0
2100,4.0
2101,9.0
2102,2.0
2103,6.0
2104,6.0
2105,9.0
2106,7.0
2107,8.0
2108,0.0
2109,6.0
2110,7.0
2111,4.0
2112,2.0
2113,2.0
2114,4.0
2115,0.0
2116,6.0
2117,2.0
2118,1.0
2119,4.0
2120,2.0
2121,5.0
2122,7.0
2123,5.0
2124,6.0
2125,2.0
2126,0.0
2127,6.0
2128,8.0
2129,2.0
2130,4.0
2131,4.0
2132,5.0
2133,7.0
2134,6.0
2135,8.0
2136,1.0
2137,4.0
2138,5.0
2139,6.0
2140,1.0
2141,5.0
